text,label
bathong kamogelo,unknown
bbmzansi channelotv no she was amazing between the ladies who came here its her and lerato big ups,unknown
xongotela94 siyalenkoe zibele27351607 wise30152072 zebpablo10 casspernyovest akaworldwide abo lerato la 2 litre and its too much sauce oh please,unknown
no but do you guys see my wifeseponono sa ga marumolerato la pelo yakano way man,unknown
diepcitymzansi entlak what kind of a friend is nox after she assured lerato gore she would never hurt her intentionally but now she just fucked bafana on his wedding day letoto will never leave sloot,unknown
oooooooooh nox you just destroyed leratos heart into pieces diepcitymzansi,unknown
poor lerato diepcity,unknown
relebohlekabelo i had an amazing one thank you lerato laka and youre not late,unknown
leratobafanasmanga diepcity itslikeawedding,unknown
gatwe re badilwe nna ke seo nna ha ke dumele,unknown
joanjoanmash i dont know and the weather ha e dumele,unknown
motho a dumele gore boyfriend yage e mo imise mara antse a bona e nwa batho every weekend,unknown
motho a tswe ko gabo are gwa tonya mara a yo robala ka lepona ko metseng ya bathora dibona mara,unknown
camberrycam mos rena re tla tshaba go tsamaya ka maponapona ko metseng ya rona,unknown
going to try it will come back with some feedback kodwa moroto,unknown
cmbulelemag moroto cold zonke bonke nje,unknown
zeeshamase hlanyos ilwa,unknown
nna kana ke bona meleko bo give me a second chance letso ill do better letso motho ebe a fumbola ka probation what a waste of time,unknown
this goes for the abc tooebile ba ka holimo meleko,unknown
preciousmalets meleko fela,unknown
shaanmothae ba tsebang ctpheto would say this is himmotho enoa o meleko hn,unknown
mocats kanonor preciouspopi mayalegacy tsepspeare wordle 277 56meleko,unknown
lebohimself meleko broer,unknown
raphy che o swaswa hn,unknown
andiswanzwayiba boineelo teases me till this day,unknown
christ jehovah ga rena ditiro,unknown
mynameislollik letlaa hetwa ke ditiro kana hagongwe reabo rebatla gole hira,unknown
powegffmo nne ke phirimisa ditiro tsa monna nna ke mo tima mmeche,unknown
thapz nna ke ipatlela polase,unknown
the problem is dintwa ga di fele,unknown
banamalome gevaarlik21 tebzasandries ema pele wena ka dintwa rea lesotho,unknown
kwenaless ronaldmohlala beam10550983 o rata dintwa mon,unknown
ipsmok a ke gane mabitso a fela mara a mangwe ona aowa hle,unknown
marago a mangwe ha ng ng,unknown
modimo leba pelo hela,unknown
celousrach ehe o e leba jalo,unknown
ndimuvenda khudutortoise,unknown
i have this 12 year old nephew o ratang manyalo gorehe even listens to mmaausis musicone of his faves is segonyanamothaka o tlhakana berese gore when that song plays,unknown
mogorositld heela wena kana ga o itse dilo mothaka yo mongwe o ne a kgona go kopa mo buka ya moral education mme go kwalwa agriculture,unknown
ottissnr di seka tsa jewellery ke tshupai have done that,unknown
willymasoa manasemasumpa disaroboro cadamgaga malekeselina nthabipule sabbymasabi kingv058 mastermindmm tendermrasty mathotokumalo nanicheba ntofontofo julz46 moreliferadio ratomohale tshedsonw lesedifm tabeng efengtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwang,unknown
proverbmusic primeafricansec bjanong wa pallwa ke go re mema re le kgauswi bjana re tlo gobona physicallyface to face,unknown
if its not lefika its slax7529 my cousins are always trynna kill me ha e le nako ya mmutla yone,unknown
immmchosen nna ntlogele,unknown
bogosi100 dumoqhakaza b o g o s i ntlogele tuuuuu,unknown
omokgolela ntlogele,unknown
jackinho21 dont you have an lsd tomorrow morning ntlogele tu,unknown
o lapisa gore ke batla go loga kana,unknown
kanti gatwe re loga ha kae mo kgweding,unknown
eerahza gooner67mdh kgale ke nwa joh,unknown
ba fedile kgale bawe,unknown
di beer tseo tsa r1 bare ke vaccine kgale le sokodisa le ganoe tlhaba,unknown
yerrrr i made plans with a friend to go up kgale hill tomorrow,unknown
wena mara kgale o di bona tlhe mfanak,unknown
dont be a borinq boyfriendjust freeze durinq sex and stare at the corner and say ba batlanq bah cause kgale ba tlhokofetse,unknown
elsienaskhosana dia thoma ese kgale re tlabe re le broke ka 5pm,unknown
cianash kgale kego bona gore you not very giving,unknown
lebomosebetsi lmfao kana ga ke gopola ko ke tswang nkabo ebile ele kgale ke montshitse gore a tswe jang mo botshelong jwame he soften me up and shit,unknown
advobarryroux haai maanke ntho tsa kgale tsenai mean its 2022,unknown
straighttopjita bonolomaphutha kgale ke hamba shamele nou ntse ke hamba ke go tlotlele,unknown
tlharantlhope lol metaele eo ya lwesa kgale ke ebona ko spaneng,unknown
skepselsa motho waka wa kgale,unknown
bonololeb yena go tloga kgale a na le great taste in music,unknown
disconicholas o mphe di soccer boots txa kgale mokoena,unknown
justfoza etla plus kgale ko beile bambara,unknown
mash2mashoko ketlo delete nou eseng kgale babe,unknown
nna kgale ke di bona yoh,unknown
advobarryroux lelakamister banyaka go lokia situation ya batswadi ba bona kgale ba loya ke batho so now is their turnwt goes around comes aroundsangoma is just a cover name nna rea tseba gore most enoba baloi,unknown
nyzer01 re batho ba kgale ntwana,unknown
matlabowilson my friend wena kgale o mpone struu im tall now,unknown
kefilwefee lmao friend kgale ra bolela ka ntho tse so maan but remember when you were asking about birthday ideas last year and i told you to get it i think i did mention weed and it i did friend,unknown
aona ko ba nyakang ngweti ya lapa ke kgale,unknown
